Team,Sport,Total_Medals,Country_Total
Romania,Rowing,175,611
Romania,Rugby Sevens,0,611
Romania,Sailing,0,611
Romania,Shooting,11,611
Romania,Short Track Speed Skating,0,611
Romania,Skeleton,0,611
Romania,Ski Jumping,0,611
Romania,Snowboarding,0,611
Romania,Softball,0,611
Romania,Speed Skating,0,611
Romania,Swimming,9,611
Romania,Synchronized Swimming,0,611
Romania,Table Tennis,0,611
Romania,Taekwondo,0,611
Romania,Tennis,2,611
Romania,Trampolining,0,611
Romania,Triathlon,0,611
Romania,Volleyball,10,611
Romania,Water Polo,0,611
Romania,Weightlifting,13,611
Romania,Wrestling,32,611
Russia,Alpine Skiing,1,1100
Russia,Archery,4,1100
Russia,Athletics,103,1100
Russia,Badminton,2,1100
Russia,Baseball,0,1100
Russia,Basketball,36,1100
Russia,Beach Volleyball,0,1100
Russia,Biathlon,57,1100
Russia,Bobsleigh,0,1100
Russia,Boxing,30,1100
Russia,Canoeing,22,1100
Russia,Cross Country Skiing,49,1100
Russia,Curling,0,1100
Russia,Cycling,24,1100
Russia,Diving,27,1100
Russia,Equestrianism,0,1100
Russia,Fencing,62,1100
Russia,Figure Skating,19,1100
Russia,Football,0,1100
Russia,Freestyle Skiing,4,1100
Russia,Golf,0,1100
Russia,Gymnastics,83,1100
Russia,Handball,58,1100
Russia,Hockey,0,1100
Russia,Ice Hockey,43,1100
Russia,Judo,16,1100
Russia,Luge,6,1100
Russia,Modern Pentathlon,5,1100
Russia,Nordic Combined,1,1100
Russia,Rhythmic Gymnastics,45,1100
Russia,Rowing,17,1100
Russia,Rugby Sevens,0,1100
Russia,Sailing,4,1100
Russia,Shooting,31,1100
Russia,Short Track Speed Skating,8,1100
Russia,Skeleton,3,1100
Russia,Ski Jumping,0,1100
Russia,Snowboarding,5,1100
Russia,Softball,0,1100
Russia,Speed Skating,20,1100
Russia,Swimming,43,1100
Russia,Synchronized Swimming,54,1100
Russia,Table Tennis,0,1100
Russia,Taekwondo,4,1100
Russia,Tennis,6,1100
Russia,Trampolining,4,1100
Russia,Triathlon,0,1100
Russia,Volleyball,70,1100
Russia,Water Polo,51,1100
Russia,Weightlifting,26,1100
Russia,Wrestling,57,1100
South Korea,Alpine Skiing,0,586
South Korea,Archery,69,586
South Korea,Athletics,2,586
South Korea,Badminton,5,586
South Korea,Baseball,48,586
South Korea,Basketball,11,586
South Korea,Beach Volleyball,0,586
South Korea,Biathlon,0,586
South Korea,Bobsleigh,0,586
South Korea,Boxing,17,586
South Korea,Canoeing,0,586
South Korea,Cross Country Skiing,0,586
South Korea,Curling,0,586
South Korea,Cycling,0,586
South Korea,Diving,0,586
South Korea,Equestrianism,0,586
South Korea,Fencing,20,586
South Korea,Figure Skating,2,586
South Korea,Football,18,586
South Korea,Freestyle Skiing,0,586
South Korea,Golf,1,586
South Korea,Gymnastics,9,586
South Korea,Handball,96,586
South Korea,Hockey,48,586
South Korea,Ice Hockey,0,586
South Korea,Judo,43,586
South Korea,Luge,0,586
South Korea,Modern Pentathlon,0,586
South Korea,Nordic Combined,0,586
South Korea,Rhythmic Gymnastics,0,586
South Korea,Rowing,0,586
South Korea,Rugby Sevens,0,586
South Korea,Sailing,0,586
South Korea,Shooting,16,586
South Korea,Short Track Speed Skating,73,586
South Korea,Skeleton,0,586
South Korea,Ski Jumping,0,586
South Korea,Snowboarding,0,586
South Korea,Softball,0,586
South Korea,Speed Skating,11,586
South Korea,Swimming,4,586
South Korea,Synchronized Swimming,0,586
