"Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal","BMI"
"Annemarie Forder","F",22,175,77,"Australia",2000,"Shooting","Bronze",25.1428571428571
"George Edward Foreman","M",19,192,99,"United States",1968,"Boxing","Gold",26.85546875
"Michael Joseph Forgeron","M",26,199,98,"Canada",1992,"Rowing","Gold",24.7468498270246
"Wilfrid Forgues","M",22,178,74,"France-1",1992,"Canoeing","Bronze",23.355636914531
"Wilfrid Forgues","M",26,178,74,"France-1",1996,"Canoeing","Gold",23.355636914531
"Robert ""Bob"" Forhan","M",23,NA,NA,"Canada",1960,"Ice Hockey","Silver",NA
"Karen Forkel","F",21,173,65,"Germany",1992,"Athletics","Bronze",21.7180660897457
"Miraildes ""Formiga"" Maciel Mota","F",26,162,53,"Brazil",2004,"Football","Silver",20.1950922115531
"Miraildes ""Formiga"" Maciel Mota","F",30,162,53,"Brazil",2008,"Football","Silver",20.1950922115531
"Ivar Formo","M",20,188,78,"Norway",1972,"Cross Country Skiing","Bronze",22.0688094160254
"Ivar Formo","M",20,188,78,"Norway",1972,"Cross Country Skiing","Silver",22.0688094160254
"Ivar Formo","M",24,188,78,"Norway",1976,"Cross Country Skiing","Gold",22.0688094160254
"Ivar Formo","M",24,188,78,"Norway",1976,"Cross Country Skiing","Silver",22.0688094160254
"Alan Michael Forney","M",24,193,86,"United States",1984,"Rowing","Silver",23.0878681306881
"Giacomo Fornoni","M",20,172,68,"Italy",1960,"Cycling","Gold",22.9853975121687
"William Ronald ""Bill"" Forrester, Jr.","M",18,180,79,"United States",1976,"Swimming","Bronze",24.3827160493827
"Peter Mattias Forsberg","M",20,185,93,"Sweden",1994,"Ice Hockey","Gold",27.173119065011
"Peter Mattias Forsberg","M",32,185,93,"Sweden",2006,"Ice Hockey","Gold",27.173119065011
"Robert Frstemann","M",26,174,90,"Germany",2012,"Cycling","Bronze",29.7265160523187
"Kerstin Frster (Pieloth-)","F",22,177,69,"East Germany",1988,"Rowing","Gold",22.0243225126879
"Olaf Frster","M",25,190,89,"East Germany",1988,"Rowing","Gold",24.6537396121884
"Sarah Forster","F",20,169,55,"Switzerland",2014,"Ice Hockey","Bronze",19.2570288155177
"Karsten Forsterling","M",32,191,88,"Australia",2012,"Rowing","Bronze",24.1221457745128
"Karsten Forsterling","M",36,191,88,"Australia",2016,"Rowing","Silver",24.1221457745128
"Timothy Charles ""Tim"" Forsyth","M",18,199,78,"Australia",1992,"Athletics","Bronze",19.6964723113053
"Jaume Fort Mauri","M",29,182,83,"Spain",1996,"Handball","Bronze",25.0573602221954
"Laura Michele Fortino","F",23,164,62,"Canada",2014,"Ice Hockey","Gold",23.051754907793
"Wojciech Fortuna","M",19,165,60,"Poland",1972,"Ski Jumping","Gold",22.038567493113
"Scott Thomas Fortune","M",22,198,89,"United States",1988,"Volleyball","Gold",22.7017651260076
"Scott Thomas Fortune","M",26,198,89,"United States",1992,"Volleyball","Bronze",22.7017651260076
"Richard Douglas ""Dick"" Fosbury","M",21,193,83,"United States",1968,"Athletics","Gold",22.2824773819431
"Brendan Foster","M",28,178,68,"Great Britain",1976,"Athletics","Bronze",21.4619366241636
"Glen Seward Foster, II","M",42,180,84,"United States",1972,"Sailing","Bronze",25.9259259259259
"Gregory ""Greg"" Foster","M",25,190,84,"United States",1984,"Athletics","Silver",23.2686980609418
"Margot Elizabeth Foster","F",25,180,74,"Australia",1984,"Rowing","Bronze",22.8395061728395
"Peter Foster","M",28,181,80,"Australia",1988,"Canoeing","Bronze",24.4192790207869
"Timothy James Carrington ""Tim"" Foster","M",26,190,89,"Great Britain",1996,"Rowing","Bronze",24.6537396121884
"Timothy James Carrington ""Tim"" Foster","M",30,190,89,"Great Britain",2000,"Rowing","Gold",24.6537396121884
"Robert James Foth","M",34,178,70,"United States",1992,"Shooting","Silver",22.0931700542861
"Sbastien Edmond Foucras","M",26,173,69,"France",1998,"Freestyle Skiing","Silver",23.0545624644993
"Julie Maurine Foudy","F",25,165,59,"United States",1996,"Football","Gold",21.6712580348944
"Julie Maurine Foudy","F",29,165,59,"United States",2000,"Football","Silver",21.6712580348944
"Julie Maurine Foudy","F",33,165,59,"United States",2004,"Football","Gold",21.6712580348944
"Benjamin John ""Ben"" Fouhy","M",25,183,87,"New Zealand",2004,"Canoeing","Silver",25.9786795664248
"Hyleas Christine Fountain","F",27,170,64,"United States",2008,"Athletics","Silver",22.1453287197232
"Paul Four","M",28,176,67,"France",1984,"Modern Pentathlon","Bronze",21.6296487603306
"Martin Fourcade","M",21,183,73,"France",2010,"Biathlon","Silver",21.7982023948162
"Martin Fourcade","M",25,183,73,"France",2014,"Biathlon","Gold",21.7982023948162
"Martin Fourcade","M",25,183,73,"France",2014,"Biathlon","Silver",21.7982023948162
"Martin Fourcade","M",25,183,73,"France",2014,"Biathlon","Gold",21.7982023948162
"Nina Fout","F",41,173,66,"United States",2000,"Equestrianism","Bronze",22.0521901834341
"Calvin Bernard ""Cal"" Fowler","M",28,186,77,"United States",1968,"Basketball","Gold",22.2569083130998
"William Dexter Fowler","M",22,198,79,"United States",2008,"Baseball","Bronze",20.1510049994898
"Sylvia Shaqueria Fowles","F",22,198,90,"United States",2008,"Basketball","Gold",22.9568411386593
