Team,Sport,Total_Medals,Country_Total
Soviet Union,Sailing,18,2128
Soviet Union,Shooting,37,2128
Soviet Union,Ski Jumping,1,2128
Soviet Union,Speed Skating,53,2128
Soviet Union,Swimming,119,2128
Soviet Union,Volleyball,141,2128
Soviet Union,Water Polo,68,2128
Soviet Union,Weightlifting,48,2128
Soviet Union,Wrestling,93,2128
Spain,Alpine Skiing,2,450
Spain,Archery,3,450
Spain,Athletics,14,450
Spain,Badminton,1,450
Spain,Basketball,60,450
Spain,Beach Volleyball,2,450
Spain,Boxing,4,450
Spain,Canoeing,24,450
Spain,Cycling,19,450
Spain,Equestrianism,5,450
Spain,Fencing,1,450
Spain,Football,34,450
Spain,Gymnastics,4,450
Spain,Handball,60,450
Spain,Hockey,77,450
Spain,Judo,6,450
Spain,Rhythmic Gymnastics,12,450
Spain,Rowing,2,450
Spain,Sailing,32,450
Spain,Shooting,2,450
Spain,Swimming,8,450
Spain,Synchronized Swimming,20,450
Spain,Taekwondo,6,450
Spain,Tennis,13,450
Spain,Triathlon,1,450
Spain,Water Polo,36,450
Spain,Weightlifting,1,450
Spain,Wrestling,1,450
Sweden,Alpine Skiing,15,632
Sweden,Archery,2,632
Sweden,Athletics,14,632
Sweden,Biathlon,16,632
Sweden,Boxing,3,632
Sweden,Canoeing,39,632
Sweden,Cross Country Skiing,86,632
Sweden,Curling,21,632
Sweden,Cycling,18,632
Sweden,Diving,3,632
Sweden,Equestrianism,14,632
Sweden,Fencing,7,632
Sweden,Football,18,632
Sweden,Freestyle Skiing,2,632
Sweden,Golf,1,632
Sweden,Handball,61,632
Sweden,Ice Hockey,188,632
Sweden,Modern Pentathlon,5,632
Sweden,Sailing,25,632
Sweden,Shooting,10,632
Sweden,Snowboarding,1,632
Sweden,Speed Skating,10,632
Sweden,Swimming,43,632
Sweden,Table Tennis,3,632
Sweden,Tennis,3,632
Sweden,Triathlon,1,632
Sweden,Weightlifting,1,632
Sweden,Wrestling,22,632
West Germany,Alpine Skiing,9,558
West Germany,Athletics,71,558
West Germany,Biathlon,14,558
West Germany,Boxing,6,558
West Germany,Canoeing,12,558
West Germany,Cycling,28,558
West Germany,Equestrianism,62,558
West Germany,Fencing,48,558
West Germany,Figure Skating,1,558
West Germany,Football,18,558
West Germany,Gymnastics,1,558
West Germany,Handball,15,558
West Germany,Hockey,66,558
West Germany,Ice Hockey,18,558
West Germany,Judo,8,558
West Germany,Luge,6,558
West Germany,Nordic Combined,5,558
West Germany,Rhythmic Gymnastics,1,558
West Germany,Rowing,51,558
West Germany,Sailing,14,558
West Germany,Shooting,11,558
West Germany,Speed Skating,3,558
West Germany,Swimming,59,558
West Germany,Tennis,3,558
West Germany,Water Polo,12,558
West Germany,Weightlifting,7,558
West Germany,Wrestling,9,558
