Team,Sport,Total_Medals,Country_Total,Rank
Czechoslovakia,Alpine Skiing,1,356,25
Czechoslovakia,Athletics,14,356,25
Czechoslovakia,Boxing,3,356,25
Czechoslovakia,Canoeing,1,356,25
Czechoslovakia,Cross Country Skiing,11,356,25
Czechoslovakia,Cycling,10,356,25
Czechoslovakia,Diving,2,356,25
Czechoslovakia,Figure Skating,5,356,25
Czechoslovakia,Football,33,356,25
Czechoslovakia,Gymnastics,28,356,25
Czechoslovakia,Handball,16,356,25
Czechoslovakia,Hockey,16,356,25
Czechoslovakia,Ice Hockey,114,356,25
Czechoslovakia,Judo,1,356,25
Czechoslovakia,Modern Pentathlon,4,356,25
Czechoslovakia,Rowing,40,356,25
Czechoslovakia,Shooting,8,356,25
Czechoslovakia,Ski Jumping,9,356,25
Czechoslovakia,Tennis,5,356,25
Czechoslovakia,Volleyball,23,356,25
Czechoslovakia,Weightlifting,3,356,25
Czechoslovakia,Wrestling,9,356,25
Bulgaria,Athletics,19,323,26
Bulgaria,Basketball,24,323,26
Bulgaria,Biathlon,2,323,26
Bulgaria,Boxing,17,323,26
Bulgaria,Canoeing,28,323,26
Bulgaria,Cross Country Skiing,1,323,26
Bulgaria,Equestrianism,3,323,26
Bulgaria,Football,18,323,26
Bulgaria,Gymnastics,10,323,26
Bulgaria,Judo,3,323,26
Bulgaria,Rhythmic Gymnastics,18,323,26
Bulgaria,Rowing,34,323,26
Bulgaria,Shooting,16,323,26
Bulgaria,Short Track Speed Skating,3,323,26
Bulgaria,Swimming,3,323,26
Bulgaria,Tennis,1,323,26
Bulgaria,Volleyball,22,323,26
Bulgaria,Weightlifting,36,323,26
Bulgaria,Wrestling,65,323,26
Yugoslavia,Alpine Skiing,2,312,27
Yugoslavia,Basketball,84,312,27
Yugoslavia,Boxing,11,312,27
Yugoslavia,Canoeing,7,312,27
Yugoslavia,Football,33,312,27
Yugoslavia,Gymnastics,3,312,27
Yugoslavia,Handball,72,312,27
Yugoslavia,Judo,2,312,27
Yugoslavia,Rowing,9,312,27
Yugoslavia,Shooting,3,312,27
Yugoslavia,Ski Jumping,5,312,27
Yugoslavia,Swimming,2,312,27
Yugoslavia,Table Tennis,4,312,27
Yugoslavia,Water Polo,59,312,27
Yugoslavia,Wrestling,16,312,27
Unified Team,Archery,4,271,28
Unified Team,Athletics,29,271,28
Unified Team,Basketball,12,271,28
Unified Team,Biathlon,11,271,28
Unified Team,Boxing,2,271,28
Unified Team,Canoeing,3,271,28
Unified Team,Cross Country Skiing,12,271,28
Unified Team,Diving,3,271,28
Unified Team,Fencing,13,271,28
Unified Team,Figure Skating,1,271,28
Unified Team,Freestyle Skiing,1,271,28
Unified Team,Gymnastics,28,271,28
Unified Team,Handball,25,271,28
Unified Team,Ice Hockey,22,271,28
Unified Team,Judo,4,271,28
Unified Team,Modern Pentathlon,4,271,28
Unified Team,Rhythmic Gymnastics,2,271,28
Unified Team,Rowing,4,271,28
Unified Team,Shooting,8,271,28
Unified Team,Short Track Speed Skating,4,271,28
Unified Team,Swimming,30,271,28
Unified Team,Tennis,3,271,28
Unified Team,Volleyball,8,271,28
Unified Team,Water Polo,13,271,28
Unified Team,Weightlifting,9,271,28
Unified Team,Wrestling,16,271,28
Switzerland,Alpine Skiing,49,264,29
Switzerland,Athletics,2,264,29
Switzerland,Biathlon,1,264,29
Switzerland,Canoeing,4,264,29
Switzerland,Cross Country Skiing,13,264,29
Switzerland,Curling,23,264,29
Switzerland,Cycling,21,264,29
Switzerland,Equestrianism,37,264,29
Switzerland,Fencing,15,264,29
Switzerland,Figure Skating,1,264,29
Switzerland,Freestyle Skiing,4,264,29
Switzerland,Gymnastics,2,264,29
Switzerland,Ice Hockey,19,264,29
Switzerland,Judo,4,264,29
Switzerland,Nordic Combined,8,264,29
Switzerland,Rowing,20,264,29
Switzerland,Sailing,3,264,29
Switzerland,Shooting,5,264,29
Switzerland,Skeleton,3,264,29
Switzerland,Ski Jumping,5,264,29
Switzerland,Snowboarding,12,264,29
Switzerland,Swimming,1,264,29
Switzerland,Tennis,6,264,29
Switzerland,Triathlon,5,264,29
Switzerland,Wrestling,1,264,29
Austria,Alpine Skiing,92,254,30
Austria,Athletics,5,254,30
Austria,Biathlon,11,254,30
Austria,Canoeing,4,254,30
Austria,Cross Country Skiing,5,254,30
Austria,Equestrianism,5,254,30
Austria,Figure Skating,3,254,30
Austria,Freestyle Skiing,1,254,30
Austria,Judo,5,254,30
Austria,Luge,11,254,30
Austria,Nordic Combined,29,254,30
Austria,Rowing,4,254,30
Austria,Sailing,12,254,30
Austria,Shooting,8,254,30
Austria,Skeleton,1,254,30
Austria,Ski Jumping,43,254,30
Austria,Snowboarding,6,254,30
Austria,Speed Skating,5,254,30
Austria,Swimming,3,254,30
Austria,Triathlon,1,254,30
Denmark,Athletics,4,246,31
Denmark,Badminton,8,246,31
Denmark,Boxing,1,246,31
Denmark,Canoeing,15,246,31
Denmark,Curling,5,246,31
Denmark,Cycling,37,246,31
Denmark,Equestrianism,1,246,31
Denmark,Football,12,246,31
Denmark,Handball,59,246,31
Denmark,Rowing,50,246,31
Denmark,Sailing,39,246,31
Denmark,Shooting,4,246,31
Denmark,Swimming,8,246,31
Denmark,Table Tennis,2,246,31
Denmark,Wrestling,1,246,31
New Zealand,Alpine Skiing,1,213,32
New Zealand,Athletics,19,213,32
New Zealand,Boxing,2,213,32
New Zealand,Canoeing,18,213,32
New Zealand,Cycling,18,213,32
New Zealand,Equestrianism,23,213,32
New Zealand,Golf,1,213,32
New Zealand,Hockey,14,213,32
New Zealand,Rowing,66,213,32
New Zealand,Rugby Sevens,12,213,32
New Zealand,Sailing,29,213,32
New Zealand,Shooting,2,213,32
New Zealand,Swimming,5,213,32
New Zealand,Triathlon,3,213,32
Argentina,Basketball,24,201,33
Argentina,Boxing,3,201,33
Argentina,Cycling,2,201,33
Argentina,Equestrianism,1,201,33
Argentina,Football,52,201,33
Argentina,Hockey,81,201,33
Argentina,Judo,2,201,33
Argentina,Rowing,2,201,33
Argentina,Sailing,13,201,33
Argentina,Swimming,1,201,33
Argentina,Taekwondo,1,201,33
Argentina,Tennis,7,201,33
Argentina,Volleyball,12,201,33
Ukraine,Archery,8,197,34
Ukraine,Athletics,21,197,34
Ukraine,Biathlon,8,197,34
Ukraine,Boxing,14,197,34
Ukraine,Canoeing,12,197,34
